Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,12,42,30,3,3,2,1.443546716086679,0.39110871618112,0.029333153713584137,0.3911087161811199,0.6875
uh1,Horror,60.0,90.0,30,1,3,3,1.706656216063069,0.1279992162047302,0.292442653689974,0.12799921620473015,-1.3125
rc2,Comedy,108.0,138.0,30,1,1,3,1.0951044053071357,-0.48355259455120275,-0.3191091570659592,-0.4835525945512028,-1.3125
rh2,Horror,152.0,182.0,30,3,2,2,1.1377708107087126,0.08533281080315348,-0.27644275166438237,0.08533281080315343,0.6875
rh1,Horror,196.0,226.0,30,4,3,2,1.443546716086679,0.39110871618112,0.029333153713584137,0.3911087161811199,1.6875
rc9,Comedy,244.0,274.0,30,4,4,4,2.275541621417425,0.17066562160630697,0.8613280590443302,0.1706656216063069,1.6875
uc4,Comedy,288.0,318.0,30,3,2,4,1.663989810661492,-0.440886189149626,0.24977624828839717,-0.4408861891496261,0.6875
rh9,Horror,332.0,362.0,30,2,2,2,1.1377708107087126,0.08533281080315348,-0.27644275166438237,0.08533281080315343,-0.3125
uh2,Horror,376.0,406.0,30,4,3,1,1.1804372161102892,0.6542182161575097,-0.23377634626280575,0.6542182161575096,1.6875
rc6,Comedy,420.0,450.0,30,1,1,3,1.0951044053071357,-0.48355259455120275,-0.3191091570659592,-0.4835525945512028,-1.3125
rh3,Horror,468.0,498.0,30,2,2,2,1.1377708107087126,0.08533281080315348,-0.27644275166438237,0.08533281080315343,-0.3125
rc11,Comedy,512.0,542.0,30,1,1,3,1.0951044053071357,-0.48355259455120275,-0.3191091570659592,-0.4835525945512028,-1.3125
uc1,Comedy,560.0,590.0,30,2,2,3,1.4008803106851022,-0.17777668917323627,-0.013333251687992709,-0.17777668917323633,-0.3125
rh11,Horror,608.0,638.0,30,1,3,1,1.1804372161102892,0.6542182161575097,-0.23377634626280575,0.6542182161575096,-1.3125
rc12,Comedy,656.0,686.0,30,3,2,4,1.663989810661492,-0.440886189149626,0.24977624828839717,-0.4408861891496261,0.6875
rc5,Comedy,700.0,730.0,30,2,3,4,1.9697657160394586,-0.13511028377165954,0.5555521536663637,-0.1351102837716596,-0.3125
rc3,Comedy,12,42,30,3,2,4,1.7045380257239835,-0.7416692172997484,0.2903244633508886,-0.7416692172997483,0.4375
rh12,Horror,60.0,90.0,30,3,4,1,1.2686447138022012,0.6570929030462683,-0.1455688485708937,0.6570929030462684,0.4375
rc1,Comedy,108.0,138.0,30,2,2,3,1.398762120346017,-0.43589331192178205,-0.015451442027077933,-0.435893311921782,-0.5625
rh7,Horror,152.0,182.0,30,1,2,1,0.787210309590084,0.17565849883415094,-0.627003252783011,0.175658498834151,-1.5625
rc8,Comedy,200.0,230.0,30,2,2,4,1.7045380257239835,-0.7416692172997484,0.2903244633508886,-0.7416692172997483,-0.5625
uc3,Comedy,244.0,274.0,30,4,3,3,1.6394793224520754,-0.1951761098157234,0.22526576007898047,-0.19517610981572334,1.4375
rh10,Horror,288.0,318.0,30,1,4,1,1.2686447138022012,0.6570929030462683,-0.1455688485708937,0.6570929030462684,-1.5625
rc4,Comedy,332.0,362.0,30,4,3,4,1.945255227830042,-0.5009520151936899,0.531041665456947,-0.5009520151936899,1.4375
rh4,Horror,380.0,410.0,30,3,3,1,1.0279275116961426,0.4163757009402096,-0.3862860506769523,0.41637570094020965,0.4375
uc2,Comedy,428.0,458.0,30,2,2,3,1.398762120346017,-0.43589331192178205,-0.015451442027077933,-0.435893311921782,-0.5625
rh5,Horror,476.0,506.0,30,2,4,1,1.2686447138022012,0.6570929030462683,-0.1455688485708937,0.6570929030462684,-0.5625
rh8,Horror,520.0,550.0,30,1,4,1,1.2686447138022012,0.6570929030462683,-0.1455688485708937,0.6570929030462684,-1.5625
rc10,Comedy,568.0,598.0,30,4,4,4,2.185972429936101,-0.26023481308763113,0.771758867563006,-0.2602348130876311,1.4375
uh3,Horror,616.0,646.0,30,4,4,1,1.2686447138022012,0.6570929030462683,-0.1455688485708937,0.6570929030462684,1.4375
rc7,Comedy,660.0,690.0,30,2,1,4,1.4638208236179246,-0.9823864194058072,0.049607261244829726,-0.9823864194058072,-0.5625
uh4,Horror,704.0,734.0,30,3,3,1,1.0279275116961426,0.4163757009402096,-0.3862860506769523,0.41637570094020965,0.4375
