Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,12.0,42.0,30,2,1,2,0.8419833091802292,-0.2617931297451133,-0.5722302531928655,-0.2617931297451133,-0.375
uh1,Horror,60.0,90.0,30,2,4,2,1.712268578332903,0.6084921394075605,0.2980550159598083,0.6084921394075605,-0.375
rc2,Comedy,108.0,138.0,30,2,2,4,1.6839666183604585,-0.5235862594902266,0.2697530559873637,-0.5235862594902266,-0.375
rh2,Horror,152.0,182.0,30,3,4,1,1.4363244686015673,0.8844362491388962,0.0221109062284725,0.8844362491388962,0.625
rh1,Horror,196.0,226.0,30,4,4,2,1.712268578332903,0.6084921394075605,0.2980550159598083,0.6084921394075605,1.625
rc9,Comedy,244.0,274.0,30,1,1,3,1.1179274189115649,-0.5377372394764488,-0.29628614346153,-0.5377372394764488,-1.375
uc4,Comedy,288.0,318.0,30,3,2,3,1.4080225086291227,-0.2476421497588909,-0.0061910537439719,-0.2476421497588909,0.625
rh9,Horror,332.0,362.0,30,3,3,2,1.422173488615345,0.3183970496900026,0.0079599262422502,0.3183970496900026,0.625
uh2,Horror,376.0,406.0,30,3,3,2,1.422173488615345,0.3183970496900026,0.0079599262422502,0.3183970496900026,0.625
rc6,Comedy,420.0,450.0,30,1,1,3,1.1179274189115649,-0.5377372394764488,-0.29628614346153,-0.5377372394764488,-1.375
rh3,Horror,468.0,498.0,30,3,4,2,1.712268578332903,0.6084921394075605,0.2980550159598083,0.6084921394075605,0.625
rc11,Comedy,512.0,542.0,30,1,1,4,1.3938715286429002,-0.8136813492077846,-0.0203420337301944,-0.8136813492077846,-1.375
uc1,Comedy,560.0,590.0,30,3,2,3,1.4080225086291227,-0.2476421497588909,-0.0061910537439719,-0.2476421497588909,0.625
rh11,Horror,608.0,638.0,30,2,3,1,1.1462293788840094,0.5943411594213382,-0.2679841834890852,0.5943411594213382,-0.375
rc12,Comedy,656.0,686.0,30,1,1,3,1.1179274189115649,-0.5377372394764488,-0.29628614346153,-0.5377372394764488,-1.375
rc5,Comedy,700.0,730.0,30,4,3,4,1.9740617080780165,-0.2334911697726685,0.5598481457049216,-0.2334911697726685,1.625
rc3,Comedy,12.0,42.0,30,1,1,3,1.2134864761007846,-0.4835697987469292,-0.2007270862723105,-0.4835697987469292,-1.125
rh12,Horror,60.0,90.0,30,3,3,1,1.377717728505402,0.8120323035561642,-0.036495833867693,0.8120323035561642,0.875
rc1,Comedy,108.0,138.0,30,3,3,4,2.226245865929259,-0.0364958338676928,0.8120323035561638,-0.0364958338676928,0.875
rh7,Horror,152.0,182.0,30,2,2,1,1.0127593898284744,0.4470739648792364,-0.4014541725446208,0.4470739648792365,-0.125
rc8,Comedy,200.0,230.0,30,1,1,3,1.2134864761007846,-0.4835697987469292,-0.2007270862723105,-0.4835697987469292,-1.125
uc3,Comedy,244.0,274.0,30,1,1,4,1.4963291885754038,-0.7664125112215483,0.0821156262023086,-0.7664125112215483,-1.125
rh10,Horror,288.0,318.0,30,2,1,2,0.9306437636261656,-0.2007270862723102,-0.4835697987469294,-0.2007270862723102,-0.125
rc4,Comedy,332.0,362.0,30,3,3,4,2.226245865929259,-0.0364958338676928,0.8120323035561638,-0.0364958338676928,0.875
rh4,Horror,380.0,410.0,30,3,3,1,1.377717728505402,0.8120323035561642,-0.036495833867693,0.8120323035561642,0.875
uc2,Comedy,428.0,458.0,30,3,2,4,1.861287527252332,-0.4014541725446205,0.4470739648792363,-0.4014541725446205,0.875
rh5,Horror,476.0,506.0,30,1,1,2,0.9306437636261656,-0.2007270862723102,-0.4835697987469294,-0.2007270862723102,-1.125
rh8,Horror,520.0,550.0,30,3,4,1,1.7426760671823298,1.176990642233092,0.3284625048092346,1.176990642233092,0.875
rc10,Comedy,568.0,598.0,30,2,1,4,1.4963291885754038,-0.7664125112215483,0.0821156262023086,-0.7664125112215483,-0.125
uh3,Horror,616.0,646.0,30,4,3,1,1.377717728505402,0.8120323035561642,-0.036495833867693,0.8120323035561642,1.875
rc7,Comedy,660.0,690.0,30,1,1,4,1.4963291885754038,-0.7664125112215483,0.0821156262023086,-0.7664125112215483,-1.125
uh4,Horror,704.0,734.0,30,1,1,1,0.6478010511515467,0.0821156262023087,-0.7664125112215484,0.0821156262023087,-1.125
