Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,12.0,42.0,30,4,3,4,1.7506705607713362,-0.3063673481349839,0.3364569983982413,-0.3063673481349838,1.6875
uh1,Horror,60.0,90.0,30,1,3,1,0.979281344931466,0.465021867704886,-0.4349322174416289,0.4650218677048861,-1.3125
rc2,Comedy,108.0,138.0,30,2,2,4,1.5099533586652776,-0.5470845502410425,0.0957397962921826,-0.5470845502410425,-0.3125
rh2,Horror,152.0,182.0,30,3,4,2,1.4771282856508148,0.4486093311976548,0.0629147232777198,0.4486093311976549,0.6875
rh1,Horror,196.0,226.0,30,3,3,2,1.2364110835447562,0.2078921290915961,-0.1778024788283387,0.2078921290915961,0.6875
rc9,Comedy,244.0,274.0,30,1,1,3,1.0121064179459287,-0.5306720137338111,-0.4021071444271662,-0.5306720137338111,-1.3125
uc4,Comedy,288.0,318.0,30,1,2,4,1.5099533586652776,-0.5470845502410425,0.0957397962921826,-0.5470845502410425,-1.3125
rh9,Horror,332.0,362.0,30,4,4,1,1.2199985470375247,0.7057390698109448,-0.1942150153355701,0.7057390698109448,1.6875
uh2,Horror,376.0,406.0,30,4,4,2,1.4771282856508148,0.4486093311976548,0.0629147232777198,0.4486093311976549,1.6875
rc6,Comedy,420.0,450.0,30,2,3,3,1.493540822158046,-0.0492376095216938,0.079327259784951,-0.0492376095216937,-0.3125
rh3,Horror,468.0,498.0,30,2,4,1,1.2199985470375247,0.7057390698109448,-0.1942150153355701,0.7057390698109448,-0.3125
rc11,Comedy,512.0,542.0,30,2,2,4,1.5099533586652776,-0.5470845502410425,0.0957397962921826,-0.5470845502410425,-0.3125
uc1,Comedy,560.0,590.0,30,2,2,4,1.5099533586652776,-0.5470845502410425,0.0957397962921826,-0.5470845502410425,-0.3125
rh11,Horror,608.0,638.0,30,2,3,1,0.979281344931466,0.465021867704886,-0.4349322174416289,0.4650218677048861,-0.3125
rc12,Comedy,656.0,686.0,30,2,4,4,1.9913877628773944,-0.0656501460289251,0.5771742005042997,-0.0656501460289251,-0.3125
rc5,Comedy,700.0,730.0,30,2,3,4,1.7506705607713362,-0.3063673481349839,0.3364569983982413,-0.3063673481349838,-0.3125
rc3,Comedy,12.0,42.0,30,2,2,3,1.2992368499850384,-0.3564278084029751,-0.1149767123880567,-0.356427808402975,-0.5625
rh12,Horror,60.0,90.0,30,3,4,2,1.4946972610447344,0.390920822119392,0.0804836986716392,0.3909208221193921,0.4375
rc1,Comedy,108.0,138.0,30,2,3,4,1.8108832201118896,-0.396669657738795,0.3966696577387947,-0.3966696577387949,-0.5625
rh7,Horror,152.0,182.0,30,3,4,1,1.218753151313399,0.6668649318507276,-0.1954604110596962,0.6668649318507276,0.4375
rc8,Comedy,200.0,230.0,30,2,2,3,1.2992368499850384,-0.3564278084029751,-0.1149767123880567,-0.356427808402975,-0.5625
uc3,Comedy,244.0,274.0,30,3,3,4,1.8108832201118896,-0.396669657738795,0.3966696577387947,-0.3966696577387949,0.4375
rh10,Horror,288.0,318.0,30,3,4,1,1.218753151313399,0.6668649318507276,-0.1954604110596962,0.6668649318507276,0.4375
rc4,Comedy,332.0,362.0,30,2,2,4,1.575180959716374,-0.6323719181343108,0.1609673973432788,-0.6323719181343108,-0.5625
rh4,Horror,380.0,410.0,30,4,4,2,1.4946972610447344,0.390920822119392,0.0804836986716392,0.3909208221193921,1.4375
uc2,Comedy,428.0,458.0,30,2,1,3,1.0635345895895223,-0.592130068798491,-0.3506789727835726,-0.592130068798491,-0.5625
rh5,Horror,476.0,506.0,30,2,2,2,1.0232927402537029,-0.0804836986716396,-0.3909208221193923,-0.0804836986716395,-0.5625
rh8,Horror,520.0,550.0,30,3,3,1,0.983050890917883,0.4311626714552118,-0.4311626714552121,0.4311626714552119,0.4375
rc10,Comedy,568.0,598.0,30,2,4,4,2.0465854805074057,-0.1609673973432792,0.6323719181343106,-0.1609673973432791,-0.5625
uh3,Horror,616.0,646.0,30,3,4,1,1.218753151313399,0.6668649318507276,-0.1954604110596962,0.6668649318507276,0.4375
rc7,Comedy,660.0,690.0,30,2,4,4,2.0465854805074057,-0.1609673973432792,0.6323719181343106,-0.1609673973432791,-0.5625
uh4,Horror,704.0,734.0,30,3,2,2,1.0232927402537029,-0.0804836986716396,-0.3909208221193923,-0.0804836986716395,0.4375
