,Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_slope_peak,AIns_slope_peak,MPFC_slope_peak,NAcc_slope_peak_avg,AIns_slope_peak_avg,MPFC_slope_peak_avg,NAcc_delta_peak,AIns_delta_peak,MPFC_delta_peak,NAcc_delta_peak_avg,AIns_delta_peak_avg,MPFC_delta_peak_avg,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_TR1,NAcc_TR2,NAcc_TR3,NAcc_TR4,NAcc_TR5,NAcc_TR6,NAcc_TR7,NAcc_TR8,NAcc_TR9,NAcc_TR10,NAcc_TR11,NAcc_TR12,NAcc_TR13,NAcc_TR14,NAcc_TR15,AIns_TR1,AIns_TR2,AIns_TR3,AIns_TR4,AIns_TR5,AIns_TR6,AIns_TR7,AIns_TR8,AIns_TR9,AIns_TR10,AIns_TR11,AIns_TR12,AIns_TR13,AIns_TR14,AIns_TR15,MPFC_TR1,MPFC_TR2,MPFC_TR3,MPFC_TR4,MPFC_TR5,MPFC_TR6,MPFC_TR7,MPFC_TR8,MPFC_TR9,MPFC_TR10,MPFC_TR11,MPFC_TR12,MPFC_TR13,MPFC_TR14,MPFC_TR15
0,sub-01,rc2,Comedy,108.0,138.0,30,1,1,3,-0.1583691420197751,-0.0266680240259082,0.2426059393913315,0.3227392117837991,0.2605097614743598,0.6286106756722163,0.2636947010201274,0.0517217596144061,0.182780470892663,1.0951044053071357,-0.4835525945512027,-0.3191091570659592,-0.4835525945512028,-1.3125,-0.3847800590279885,-0.2339994346545026,0.0262981152537152,0.8917841375028261,0.7006687818811088,0.6833333378887951,1.432835068291503,1.215311910405018,1.1625303290293003,0.1426882569280505,0.0951878323542858,0.3513323619854037,0.6466130489221136,0.5606604192105414,0.6240539273906036,0.6016664470383651,0.6796260848665867,1.0234312897335234,-0.4676636012469984,-0.179011876939632,-0.540870358486366,-0.6478057673211868,-0.4786168929783537,0.2635553529085338,-0.0288312973320578,-0.1620039984339217,0.2663760757207512,0.0138519603748046,0.026736599892741,0.0038530774115127,0.003266362965251,-0.1193085433581757,-0.1551547703349839,-0.2981188184257211,0.0032811367067595,-0.1912879609665818,0.0833908263668021,0.1801421660741884,-0.4676636012469984,-0.2513990822479356,-0.3363160190449319,0.1900367442555596,0.4521423358477476,0.1594497151662129,0.2619894532054306,0.550077810444045,0.6016664470383651,0.4829085282341085,0.5973851051196672,-0.1857689356674156,-0.1777176396240883,-0.0991849405404406,0.2996050160387217,-0.179011876939632,-0.1273154876658177,-0.0274328310223727,0.1172577809035936,0.6796260848665867,0.3658764688005642,0.0831222971578626,0.0566661756431916,0.113761043864737,0.1648181257654231,0.0758678682781926,0.0010536422814164,-0.0968918821177384,0.0528185488519515,0.3715473530317615,-0.1329129548114035,-0.1018545398491754,1.0234312897335234,0.5705337452562591,0.7908743943506606,0.4204572550942275,0.6840126080027613,0.6771753756571736,0.8591796385920296,-0.540870358486366,-0.0084627095298959,0.2582593729022013,0.3457964109853462
1,sub-01,rc9,Comedy,244.0,274.0,30,4,4,4,-0.0136625273680048,0.1394332867319085,-0.3088907080298791,-0.063564428965717,-0.2494457087328341,-0.3224956700219184,-0.0344139281109833,0.3015265535417772,0.6033741580479753,2.275541621417425,0.1706656216063069,0.8613280590443302,0.1706656216063069,1.6875,0.5129906267980519,0.7043448922751533,-0.2701617896082685,-0.4644263563564326,-0.6740593893560498,-0.562673206647119,-1.851712726922742,-1.1217126542111435,-0.7868959843173672,-0.037213628148235,0.0638380438469505,-0.0093374066679407,-0.6010494854937075,-0.3638090504306799,-0.539910326857585,0.5859277538971914,1.028914850930881,1.5961861442770529,-0.3682293646152816,-0.5083432198687841,-1.0613164891538098,0.0,0.3389096301306722,0.1303241898529366,0.0,0.4428136526864659,0.1303241898529366,0.0,0.0100930436026989,0.0153524504256307,0.0,0.0109893074523798,0.0153524504256307,0.3766219598380756,0.4764105093698191,0.869935942483017,-0.015943202468991,0.0721103850183531,-0.0164562631162908,0.0471833282285061,-0.1552068845016018,0.0617719930116722,-0.1408414536523701,-0.2204563968521373,0.032557612197445,-0.0508538995331949,-0.3682293646152816,-0.112421680257414,-0.0526346205903158,0.5859277538971914,-0.2247117289890966,-0.0031242679827824,0.3357853621478898,-0.0867333283834207,0.4599843468588389,-0.0087456789809827,-0.5083432198687841,-0.1702377549637193,0.0022472406953724,-0.2657275631224518,-0.3051672464045878,0.0541233593595082,-0.2689921664143814,0.4103370086028901,1.028914850930881,0.2832497152299884,0.4101322252080962,-1.0317307448725384,-1.0613164891538098,0.1838974574595303,-0.0454359887906739,0.0848882010622627,-0.4010502916446035,-0.2387464400260969,-0.2971267525780017,-0.7604430669231527,-0.7671302831188607,0.6895969655013431,1.247646691751044,1.5961861442770529,0.2505712718292971
2,sub-01,uc4,Comedy,288.0,318.0,30,3,2,4,-0.1432801348405,-0.3189074553273063,-0.3300846975299474,-0.3189022441083841,-0.3063405610615205,-0.484035283817676,-0.2632070492901021,-0.2802500104396759,-0.3932083983548304,1.663989810661492,-0.440886189149626,0.2497762482883971,-0.4408861891496261,0.6875,-0.8947834631451321,-1.221985095794211,-0.9650513620248462,-0.5812979644388101,-0.4842879983835854,-0.323969936051275,-0.8055304437150518,-0.7393160043871366,-0.6006058856699381,-0.241796476079662,-0.3018326756095009,-0.4024427932341513,-0.760537290432998,-0.8151963661883112,-0.6298757279153532,0.2928988499890967,0.5870970262798683,0.2444494197252106,-0.8458304022301291,-1.0141565710277436,-1.0642291963744954,0.0,0.5518494107955442,0.0,0.0,0.5518494107955442,0.0,0.0,0.0142436686106683,0.0,0.0,0.0142436686106683,0.0,-0.2467889669122246,-0.0432385076838662,-0.0689476621805538,0.2928988499890967,-0.5989788602380131,-0.0303860020743197,-0.36956627037512,-0.0103683915041442,-0.2260761268568619,-0.2457182976009566,-0.3126776077976119,-0.3275114190550211,-0.482527769231469,-0.8458304022301291,-0.0083277690594707,-0.0833967789380305,-0.1631612652991181,-0.2153190309237618,-0.1067062313829048,-0.8329880396085115,-0.0792237399987929,-0.1739754588519276,-0.4016438067943949,-0.7618453100849555,-0.4835846901358719,-0.1644145259497856,0.3874348848457586,-0.5092931639827482,-1.0141565710277436,-0.1962816156025708,-0.5624323912933062,-0.2154765005546271,0.5870970262798683,-0.2141535245047739,-0.8015197787060515,-0.1679908960552552,-0.173561040884694,-0.2931982474989627,-0.2494316728469665,-0.3846714215328932,-0.6339596236596227,-0.0878845046744023,-1.0642291963744954,-0.4512808086509238,0.2444494197252106,-0.2041565424402234,-0.6225467035326371,-0.9325073568755784
3,sub-01,rc6,Comedy,420.0,450.0,30,1,1,3,0.2185637202583872,0.0517620938555509,0.8707246036684306,-0.2277657482854944,-0.436476748679091,-0.2482887488093922,0.0511313387651595,0.1106442989954063,-0.1147348690986038,1.0951044053071357,-0.4835525945512027,-0.3191091570659592,-0.4835525945512028,-1.3125,0.5241844933415449,0.1915621542178832,0.8766171041145492,-0.5523446646684477,-0.7898672336651457,-0.0744623624957645,0.0520559731517834,0.0914715173049026,-0.2783872070704282,0.0139764369126841,-0.0913567852760445,0.1692336619201448,0.0079652672749602,-0.1689445207141199,0.1745891781827855,0.5397207278665499,0.418485471249891,1.2499920709652252,-0.3879617783484501,-1.016606135051176,-1.6229128201438874,0.3113814598203439,0.0,0.112772620461215,0.3113814598203439,0.0,0.112772620461215,0.0057693070460939,0.0,0.0010791745225769,0.0057693070460939,0.0,0.0010791745225769,0.1055807138449054,0.4479608650370871,0.498907597294797,0.1742103760816811,0.228339268046206,0.5397207278665499,0.417544783601613,-0.2669965543041139,-0.3879617783484501,-0.2067787380629759,-0.2544638728350908,-0.108526603711506,-0.1810977484694494,-0.0014852530219887,-0.108570832767455,0.1451907737175448,0.269666239787501,-0.0491442338898044,0.418485471249891,0.0567474378027755,0.0371456511180921,-0.2192632994576499,-0.0343047914353541,-0.2286666573169618,-0.373458899026257,-0.1619697221355358,-0.4016823298655244,-1.016606135051176,-0.0956370702624213,-0.1954515062397485,0.2220857755670201,0.257067092762154,0.3651572031500276,0.5613250957717514,0.5650991758183292,0.932217027662816,1.044989648124031,1.2499920709652252,0.565737473303819,0.6729299252243124,-0.1579775421849168,-1.6229128201438874,-0.6992207802462886,0.125701726495052,-0.2129754073532609,0.062213323574242,0.1888513342451968,-0.7374653224542489
4,sub-01,rc11,Comedy,512.0,542.0,30,1,1,3,0.2779796924064455,0.4295155194346659,0.3143463610638314,-0.1590512563947064,-0.3252881756473125,-0.5190302582570616,-0.0429443859761151,-0.0806183151061693,-0.2789370433983785,1.0951044053071357,-0.4835525945512027,-0.3191091570659592,-0.4835525945512028,-1.3125,0.054945385191611,0.4057016632741866,0.0580766180913491,-0.5026562133748407,-0.7794655618270978,-0.870937099779097,-0.2705736338472434,-0.2118092941322313,-0.4460290014813005,0.0253280166785413,0.0078696762270613,-0.1612069801972029,-0.2394281540101575,-0.1951910642283807,-0.419629827723016,0.6577058733182447,0.8782337369115667,0.68927757263581,-0.376493789337442,-0.8363977612781406,-1.006745063086609,0.0,0.1223557332686691,0.0,0.0,0.1223557332686691,0.0,0.0,0.0013932023802564,0.0,0.0,0.0013932023802564,0.0,-0.3314490312328804,0.156042258133932,-0.1242585627650592,0.2592006077157138,0.6577058733182447,0.2626430220665773,0.0227229501466307,0.1876260087850613,0.0867791520050808,-0.2809247653506809,-0.0766392168584243,-0.2029786712762615,-0.3214927804932462,-0.3724227390345607,-0.376493789337442,-0.0106937110028059,0.2006564634390339,0.3442318460551992,0.5297675443256303,0.7558780036428976,0.8782337369115667,0.1166882993900655,-0.1329899870968309,-0.2674420837396081,-0.8363977612781406,-0.3567089222341896,0.1475975993985125,-0.313489710383137,-0.1728068463217657,0.0394213388025222,0.2642072308280698,-0.1469308023695966,-0.3869824964700764,0.3867020431063859,-0.0527454826573608,0.2582820388359225,0.2902156333983996,0.68927757263581,-1.006745063086609,-0.7477963211908938,0.1199376917728033,-0.1928353764290319,-0.7677122223515768,-0.420836384697379,0.2008089714343686,-0.4896873736773631,-0.8585666487303125,0.1735962186787931
5,sub-01,uc1,Comedy,560.0,590.0,30,2,2,3,-0.1077215067273944,-0.2129185298220957,0.2782321010252604,0.0544877348862838,-0.2424782988814086,-0.412582762283132,0.0507959510324985,0.2251206466559281,-0.3269112001448994,1.4008803106851022,-0.1777766891732362,-0.0133332516879927,-0.1777766891732363,-0.3125,-0.2737867236102365,-0.3607849483269625,0.3673224092793042,0.0385885948274949,-0.3588860512772762,-0.4796501728806093,0.0739852850748413,0.2159294321270636,-0.7811451742078938,-0.000812606936204,-0.076758727349192,-0.1537539538009237,-0.0537376145693,-0.167913855825725,-0.2978243126030662,0.2472434128228411,0.42157917580705,0.7960265201613577,-0.3716503754128012,-0.8453247496917526,-1.0929609283718027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0066182806844952,0.1982549283790757,-0.2364841535802722,0.1603261165926243,0.194961808357198,-0.3278726315752885,-0.3716503754128012,-0.1943724515987048,-0.0760099006043991,0.2007838902468375,-0.1043325092421556,0.0047537812082951,0.2472434128228411,0.0742434021311134,0.043770480761639,0.0562000733820794,0.0440198500885146,0.0357459487991465,0.3270979003890403,0.42157917580705,-0.5634140433109077,-0.5253831828502217,-0.7244724991454397,-0.0878751279341604,0.2097053012893011,0.1091372224780778,-0.8453247496917526,-0.598034140548509,0.3598140852414787,0.2442296280893423,-0.0080417005726414,0.1977026403097462,0.331898580211715,0.7960265201613577,0.6659825727734353,-0.0886879311730826,0.0967048481460121,-0.0788655047814205,-0.1600322512611056,-0.3205331349704141,-0.1165073561674364,-1.0929609283718027,-0.3728801406449016,-0.2594214091326723,-0.0123574959449455,-0.6316538411394124,-0.6653033940649737,-0.065819860442493
6,sub-01,rc12,Comedy,656.0,686.0,30,3,2,4,-0.1479757445658637,0.1099099370435605,-0.3532764842590742,0.0370538405478785,-0.3463995563959356,0.2955865441557646,0.0774843199981402,0.0341677242563244,0.4488133820524272,1.663989810661492,-0.440886189149626,0.2497762482883971,-0.4408861891496261,0.6875,-0.7220272846000652,-0.343125445839914,-0.6575019160940465,0.1878529537264257,-0.7169814044885048,0.4128866655251089,0.7377966461647723,0.6539334563201594,1.2734756085277794,-0.0111458613399483,-0.0674406316986835,0.1303744806497059,0.0678741050970443,-0.1353911313360863,0.3429534526529472,0.4784619247739705,0.4260815972354011,1.4090288922966416,-0.6269677159640055,-0.5978088224043582,-0.59613173299192,0.0,0.0,0.1490785721265671,0.0,0.0,0.1466214865840722,0.0,0.0,0.0095832189650025,0.0,0.0,0.0024522816871636,-0.3064790185490782,-0.2102991526991357,0.4128015731743668,0.4784619247739705,0.1685740549867123,-0.4776887656462213,-0.6269677159640055,-0.2822582209797746,-0.0338424690006368,0.1376459813582118,0.0936973073357347,0.010017432510115,-0.022249049464032,0.0954805258368111,0.3739050875689811,0.0747302059941201,-0.0229459312374548,-0.1337482881717562,0.0842827772789268,-0.0781485518012008,0.1663859745985208,0.1867897086964869,0.1902397764450688,-0.5978088224043582,-0.2955374133683127,-0.536499883178596,-0.2740626725971298,-0.0280889904312813,0.4260815972354011,-0.1333741205355967,0.2281295063111031,-0.0360109094127945,-0.313987452316491,-0.5292310265129404,-0.1970164285388828,-0.59613173299192,-0.4504867667922639,0.006483533540636,0.1555621056672031,1.0446162341782923,0.8983736582449295,-0.2070021315038623,-0.4136171458077395,0.7032509067161914,0.7266494774023788,1.4090288922966416,-0.3096779086498913,-0.2851844575031847
7,sub-01,rc5,Comedy,700.0,730.0,30,2,3,4,0.2578399260301295,-0.0770650286751963,0.4666372358693541,0.0115601994933799,-0.0091868304482337,-0.332248271346676,-0.0592549573895722,0.0108874937157553,-0.5662681855772391,1.9697657160394584,-0.1351102837716595,0.5555521536663637,-0.1351102837716596,-0.3125,1.231426039189908,0.783625203818352,1.3515720939756215,-0.2585726016993729,-0.4714412738159647,-0.8719368367198038,0.1970429326023339,0.4547666914394557,-0.2483860459181728,0.070048389377979,-0.0251214551358915,-0.1439597403515203,0.3899654566976231,0.255650207147281,0.0770830704458816,0.5935513288437215,0.3313804752295938,1.264524555217434,-0.2882288446800207,-0.381569102286953,-1.0024939479170136,0.2987325564528372,0.0144668674093583,0.8524974191435489,0.0407723861807375,0.1175755453719738,0.5068032907601375,0.0080779096343183,-0.0013483122512102,0.0142889729553025,-0.0029477216728608,0.0015672562413914,0.0067803654700215,0.3688278947030411,0.568521864427257,0.6817442884880978,0.0710816281274117,0.3698141845802489,0.5935513288437215,0.1933987866696243,0.0613537019296416,0.2484291076327474,-0.0162745511914226,-0.2882288446800207,0.2762210392263806,-0.1623457535207851,-0.257837129827219,-0.2188777114071895,0.0262595891713544,0.184345221047641,-0.0301647559324481,-0.1217629881438037,-0.1072961207344453,-0.2090171038919519,0.2012002284895894,-0.1484491590953703,0.2024951385140378,-0.0799068143738337,-0.3677805848927025,0.3313804752295938,-0.132122366718264,0.1221426657151064,0.0501851020401283,-0.381569102286953,-0.0208817722412698,0.2845605753517647,-0.2558853170629787,0.5966121020805703,0.7293367059078566,1.264524555217434,-0.0014018667961119,0.3353550058588284,-0.7078557494863269,-0.4275355411899847,-0.4300381024844207,-0.4311669694314759,0.314034783394002,-0.3755802911154468,-1.0024939479170136,-0.8106012247634597,-0.956700247484277
8,sub-01,rc3,Comedy,12.0,42.0,30,3,2,4,0.088303551326886,0.0639495989916736,0.187079012598496,0.0411473631441723,-0.0697003441070581,0.2953305635577599,-0.1020466495073831,0.1454903065544212,-0.1924757781695551,1.7045380257239835,-0.7416692172997484,0.2903244633508886,-0.7416692172997483,0.4375,0.3448472554014738,0.3138052252095848,0.433384870954257,-0.5004757881188374,-0.8146757361312338,-0.2424688622500884,0.1129363295874416,0.5626223981623791,-0.2264330107289846,0.0091347549878917,0.0465798538130122,0.0966445993289002,-0.0142307343766406,0.0205839624135768,-0.0118390006749387,0.6894524911801033,0.76745041661412,0.7775017835982759,-0.4991753743581894,-0.6435818199146485,-0.8481333200495562,-0.4742603480695482,-0.0198742994326199,0.2249600763844819,-0.0610379512324517,0.3419711533190986,0.1971080764677862,-0.0220389248981965,-0.0017640451537982,0.0044378032935076,-0.0051998162877381,0.0080376093253193,0.0031674208938186,-0.3401945219592014,0.0734616020092137,0.5349095723937892,0.6894524911801033,0.2151921431105551,-0.1661056380493384,-0.2934787816389257,-0.003542457967964,-0.1545611854188972,-0.2518107466161605,0.1378227256638144,0.5227489603899481,-0.0484629382978431,-0.4991753743581894,-0.0496020927951245,0.3025823528095202,-0.0599903343031575,-0.2040477988899648,0.132537512105086,0.112663212672466,-0.3020191001163953,0.0312238162478193,0.3453425540493922,-0.2510690075210743,-0.6435818199146485,-0.0411089110567551,0.2266746800663435,0.3605833378908434,0.2597359185016865,-0.3274626034333534,-0.3061897582933218,0.3339175593829748,0.76745041661412,0.281957561703694,0.5069176380881759,0.5985763502290504,-0.5953497639410807,0.1432932769126406,0.3731114539803341,0.0718893578362425,-0.2486461203463268,0.5027963427202736,0.7775017835982759,-0.2506341722777399,-0.8481333200495562,-0.0447251719739776,-0.2748148872522429,0.4559286607057409
9,sub-01,rc1,Comedy,108.0,138.0,30,2,2,3,0.1934377422575067,-0.1609101244246661,-0.140330588866063,-0.013405965676039,-0.1006163395308295,-0.2055161224650016,0.0242109552244642,0.2488761562707789,0.1957714166876984,1.398762120346017,-0.435893311921782,-0.0154514420270779,-0.435893311921782,-0.5625,0.4456214888322303,-0.6629266517299943,-0.6350185724716977,0.359595960522398,-0.0076272248863775,0.0531135562323086,0.6810748659645973,1.044361618035646,0.8578407708886793,0.0680809106019772,-0.0042167692282388,-0.0500250982144554,0.4954307717730752,0.1246025804730914,0.0919785848830968,0.5900303248444747,0.3542488289360785,0.7233588129460091,-0.1863016932532681,-0.6898954403465152,-0.8788742847263271,0.3820723014071763,-0.0270489075402581,0.3055228907426926,0.371352223944312,-0.0520175772345887,0.3055228907426926,0.0064754688923469,-0.0012065315462119,0.0042236699861082,0.0089164552982093,-0.0027718162560213,0.0042236699861082,0.0535219560969194,-0.2336970971124581,-0.1683510485011965,-0.0599387440249286,0.1228556143955776,0.2079580234372984,0.5900303248444747,0.1062834926351116,-0.094580110856477,-0.1586485634348066,0.4826078646996047,-0.1101073255352484,-0.1863016932532681,-0.1535782636470925,0.0061782941408443,0.0391323875257326,0.129860329817081,0.0994620282857557,-0.0433014675455742,-0.2739579556020561,0.0769632524729855,-0.1956256089698106,-0.3686288424788752,-0.6898954403465152,0.1272092550316766,0.216329827727919,-0.1552743807442496,-0.0014509593229783,0.2512362288347735,0.2241873212945153,0.3542488289360785,0.1894633975159571,0.2252450047725703,-0.0660372379460929,-0.5511536643643191,-0.3701550582043577,0.3119236722002881,-0.0262306560158335,-0.0717588914557215,-0.1741998882895267,-0.8788742847263271,-0.2254542610595132,0.3227067132060801,0.4178359222033165,0.7233588129460091,0.1138491567371517,-0.2622768105916598,-0.0139099978563257
