,Trailer,Type,Onset,Offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_whole,AIns_whole,MPFC_whole,NAcc_ind_peaks_pos,AIns_ind_peaks_pos,MPFC_ind_peaks_pos,NAcc_ind_peaks_neg,AIns_ind_peaks_neg,MPFC_ind_peaks_neg,NAcc_trailer_peak_pos,AIns_trailer_peak_pos,MPFC_trailer_peak_pos,NAcc_trailer_peak_neg,AIns_trailer_peak_neg,MPFC_trailer_peak_neg,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_ISC,AIns_ISC,MPFC_ISC
0,rc1,comedy,108.0,138.0,1.797624979870136,-0.3061185798597096,0.3834114174970411,-0.3061185798597096,3.1,0.8645833333333334,0.026341340510125568,-0.11928565496625879,-0.0894265904437696,-0.0569889454704074,-0.10676316466186436,-0.14414460486350292,0.004555392471252522,-0.052929289743819115,-0.01024718063180889,-0.008697404163009773,-0.09299270312398072,-0.08127279197969378,0.4198655003777676,0.3868533185722977,0.5882315324465374,-0.3841168515859318,-0.5665350400158153,-0.7543533628694253,0.026077177755912877,0.04831468192348514,-0.004129171240768607,-0.07088267556498822,-0.1838632795722864,-0.17708701608184857,0.4198655003777676,0.3868533185722977,0.5882315324465374,-0.3841168515859318,-0.5665350400158153,-0.7543533628694253,0.14149393211248878,0.03341167805653622,0.14103197334035986
1,rc10,comedy,568.0,598.0,1.4937785597030608,-0.3250050827516551,0.0795649973299659,-0.3250050827516551,2.3214285714285716,0.08705357142857142,-0.04482528882667429,-0.11832407278433629,0.020812808207379577,0.03935465302197972,-0.052225952660640555,0.050236143545355036,-0.01614191696057194,-0.07500138489358557,0.026219365109670555,-0.00720418425508882,-0.08185047011285411,0.032422772287468406,0.41592583914251297,0.375980278860282,0.7588430162549612,-0.4208355354144856,-0.5399912759077728,-0.6554778324010329,0.05330384070271543,0.010308503050447369,0.11348939828888632,-0.08931325215878567,-0.150207517142808,-0.15202766573535986,0.41592583914251297,0.375980278860282,0.7588430162549612,-0.4208355354144856,-0.5399912759077728,-0.6554778324010329,0.024375742351168194,0.09009650418227132,0.07801107779746311
2,rc11,comedy,512.0,542.0,1.4682060558507455,-0.3671731619368674,0.05399249347765044,-0.36717316193686744,2.1,-0.18958333333333333,0.03297355685578948,0.08277431533222242,0.18693679441193167,-0.03054280879157318,-0.10037031970909273,0.0040689969415248755,0.00045935858563554856,-0.11596964970995204,-0.03807168646644266,0.0009633688832839433,-0.04452188469560745,0.05097803496233796,0.40442438144573534,0.45469699642202155,0.7900606540629506,-0.3869356876918962,-0.551221646115483,-0.6286536967541723,0.03627811639664488,0.09070290822347646,0.21969606866402527,-0.03572403835506528,-0.14334005010072748,-0.0910376981046363,0.40442438144573534,0.45469699642202155,0.7900606540629506,-0.3869356876918962,-0.551221646115483,-0.6286536967541723,-0.10157000870061765,0.1556784432125655,-0.028650222714480277
3,rc12,comedy,656.0,686.0,1.3281164431563557,-0.2897830110540163,-0.08609711921673924,-0.2897830110540164,1.9310344827586208,-0.3771551724137931,-0.07851424145298201,-0.09854244081405797,-0.03032034515028006,-0.03595427937376728,-0.09019728186723698,0.07656964479878116,0.0208977435661638,-0.10460097086835887,0.10487561504573226,-0.031190259086861835,-0.09778023118321792,0.05037497156474447,0.3670239988738953,0.40660198189696406,0.7379659616888254,-0.44701323045204566,-0.6199852074561191,-0.5920917619641448,0.04178933781050763,0.013327511436371071,0.15002151588430085,-0.10637012519752127,-0.197885561244184,-0.20732098853619682,0.3670239988738953,0.40660198189696406,0.7379659616888254,-0.44701323045204566,-0.6199852074561191,-0.5920917619641448,-0.18507886063795603,-0.03434181757288191,0.05414270049165649
4,rc2,comedy,108.0,138.0,1.3358970593224073,-0.2670182871419673,-0.07831650305068755,-0.2670182871419673,1.9666666666666666,-0.3229166666666667,-0.008599598334743198,-0.05771227376435389,0.0918124830626472,-0.058305263733529414,-0.1417784594201415,-0.08685422235629618,-0.03292068732477225,-0.05820381733265308,-0.042286058054502654,-0.03327518313101494,-0.08589818350571615,-0.012442599116050546,0.37404209142950456,0.4328691020796867,0.6845971080210178,-0.4322476211115827,-0.5447602366353229,-0.697343874990796,0.023865712816312674,0.03339176223602731,0.3111643471917465,-0.04960947538384844,-0.17738411199649898,-0.07580263432519141,0.37404209142950456,0.4328691020796867,0.6845971080210178,-0.4322476211115827,-0.5447602366353229,-0.697343874990796,-0.01848661774362074,0.11777373302118596,0.18884818941339845
5,rc3,comedy,12.0,42.0,1.5103271171449695,-0.3397426828238629,0.09611355477187453,-0.3397426828238629,2.6551724137931036,0.41594827586206895,0.05517343401343165,0.06010956296467754,0.015277493787493017,-0.0691490671158778,-0.11544648707080646,-0.06908580384953658,-0.041626351362291265,-0.06930928126269115,-0.1749839107573364,-0.018533994821579122,-0.041548735122940016,-0.07626407360645997,0.4184348266713967,0.41938828987640986,0.6196585229812687,-0.4642023056979458,-0.5309124866764449,-0.7834777995708372,0.07308143736143145,0.09482392401428545,0.12360786562086142,-0.10443914053900588,-0.12112405692180889,-0.20935712283849645,0.4184348266713967,0.41938828987640986,0.6196585229812687,-0.4642023056979458,-0.5309124866764449,-0.7834777995708372,0.05730813117722023,0.11512158365678536,0.21537299874397267
6,rc4,comedy,332.0,362.0,1.8186208825352455,-0.36181483154482946,0.40440732016215064,-0.36181483154482946,3.2413793103448274,1.0086206896551724,-0.0048946837665371,-0.008889956775543773,0.08803643395029356,-0.05158629645219832,-0.08779923858090735,0.016651015425041403,-0.05485610265541664,-0.12752090261152574,-0.1825115537978833,-0.037112360958050664,-0.07473669932265893,-0.02594136814084943,0.39575499725282753,0.3792567475308725,0.6198458248627002,-0.4459550115856824,-0.5504890290044068,-0.7414638885598092,0.06571135123382826,0.047701844938576106,0.21125568804282613,-0.12549609688653132,-0.16475235740323288,-0.1381523142514075,0.39575499725282753,0.3792567475308725,0.6198458248627002,-0.4459550115856824,-0.5504890290044068,-0.7414638885598092,0.04291285145182081,0.05304322484378172,0.1350419230780896
7,rc5,comedy,700.0,730.0,1.5947575467368318,-0.1921078421552802,0.18054398436373684,-0.19210784215528018,2.566666666666667,0.27708333333333335,0.020272161931426166,0.07434165660957753,0.21375781634613053,-0.08167279254449096,-0.0697892936543443,-0.18036242715174067,-0.02679487191900937,-0.13398221661479176,-0.1525294914678544,-0.029398500844024702,-0.04314328455318617,-0.03971136742448818,0.3701366763685922,0.4835658952048145,0.7490962984785078,-0.44799746102640137,-0.5485000568141202,-0.7333412235523299,0.04935107566770885,0.16830869966644502,0.2985440446254501,-0.09717963077545275,-0.16595505448381703,-0.24695782588724838,0.3701366763685922,0.4835658952048145,0.7490962984785078,-0.44799746102640137,-0.5485000568141202,-0.7333412235523299,0.09179435792045236,0.10214570488259493,0.26035480962421703
8,rc6,comedy,420.0,450.0,1.3828057521473591,-0.22689340936303443,-0.03140781022573566,-0.22689340936303443,2.2666666666666666,-0.022916666666666665,-0.07505981619082283,0.017974092058884124,0.0316560596058455,-0.019830376684378835,-0.13302581931871346,-0.03596951429761117,-0.031199899741421684,-0.06512516553436284,-0.054584066286401625,-0.042030030872207774,-0.060058964264730716,-0.019632506992722436,0.37857127118199985,0.4052252227792182,0.636058548863269,-0.461039718954254,-0.529805603313836,-0.7964908333025759,0.006374094906512792,0.05771635255608907,0.12600590783298665,-0.10278046874235257,-0.20506676746111044,-0.12894421686445137,0.37857127118199985,0.4052252227792182,0.636058548863269,-0.461039718954254,-0.529805603313836,-0.7964908333025759,0.006629233188598561,0.2963967963731477,0.1929124755294505
9,rc7,comedy,660.0,690.0,1.399417549658566,-0.468188366837801,-0.01479601271452888,-0.468188366837801,2.0,-0.23541666666666666,0.037203537934481744,0.03691808447559752,0.09684346366793571,-0.061780183317896274,-0.1624951875575095,-0.09720998302726752,-0.006903233337988444,-0.09584798604634785,0.002844139161247113,-0.01049329290713433,-0.07380836304275327,0.0008258732673050958,0.40465750397114963,0.4367176320809163,0.7417521213332634,-0.4049408082428994,-0.5352569475718613,-0.7433435531076238,0.13069509832846796,0.18461223489750442,0.2875564689925011,-0.08499032362904091,-0.17965650051780144,-0.14336443046908665,0.40465750397114963,0.4367176320809163,0.7417521213332634,-0.4049408082428994,-0.5352569475718613,-0.7433435531076238,0.13723354739240923,0.2095112582664964,0.12075073533095095
